Acceleration X: -76.84, Y: -55.16, Z: -38.58 m/s^2
Acceleration X: 79.19, Y: -106.64, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -32.34 rad/s

Acceleration X: 18.22, Y: -104.19, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 34.41 rad/s

Acceleration X: -40.31, Y: -100.51, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 31.14 rad/s

Acceleration X: -101.28, Y: -98.06, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 28.15 rad/s

Acceleration X: 156.47, Y: -95.61, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 24.88 rad/s

Acceleration X: 95.50, Y: -93.15, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 21.89 rad/s

Acceleration X: 33.30, Y: -89.48, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 18.89 rad/s

Acceleration X: -31.35, Y: -87.02, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 15.62 rad/s

Acceleration X: -89.87, Y: -84.57, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 12.63 rad/s

Acceleration X: -153.30, Y: -82.12, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 9.36 rad/s

Acceleration X: 100.77, Y: -78.44, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 6.37 rad/s

Acceleration X: 36.12, Y: -75.99, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 3.37 rad/s

Acceleration X: -27.30, Y: -73.54, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 0.11 rad/s

Acceleration X: -93.18, Y: -71.09, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -2.89 rad/s

Acceleration X: -156.60, Y: -67.41, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.16 rad/s

Acceleration X: 93.79, Y: -64.96, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.15 rad/s

Acceleration X: 31.59, Y: -62.51, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.42 rad/s

Acceleration X: -33.06, Y: -58.83, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.41 rad/s

Acceleration X: -91.58, Y: -56.38, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.41 rad/s

Acceleration X: -155.00, Y: -53.93, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -21.68 rad/s

Acceleration X: 102.74, Y: -51.48, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.67 rad/s

Acceleration X: 40.55, Y: -47.80, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.94 rad/s

Acceleration X: -17.98, Y: -45.35, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.93 rad/s

Acceleration X: -81.40, Y: -42.89, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -33.93 rad/s

Acceleration X: -141.14, Y: -40.44, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.55 rad/s

Acceleration X: 110.47, Y: -36.77, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.56 rad/s

Acceleration X: 54.41, Y: -34.31, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 26.29 rad/s

Acceleration X: -10.25, Y: -31.86, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.29 rad/s

Acceleration X: -69.99, Y: -29.41, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.30 rad/s

Acceleration X: -133.41, Y: -25.73, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.03 rad/s

Acceleration X: 123.11, Y: -23.28, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 14.04 rad/s

Acceleration X: -81.29, Y: -20.83, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 11.04 rad/s

Acceleration X: 8.52, Y: -18.38, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 8.05 rad/s

Acceleration X: 87.30, Y: -14.70, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 5.05 rad/s

Acceleration X: -141.61, Y: -12.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.06 rad/s

Acceleration X: -55.48, Y: -9.80, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.94 rad/s

Acceleration X: 28.20, Y: -6.12, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.93 rad/s

Acceleration X: 106.97, Y: -3.67, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.93 rad/s

Acceleration X: -119.49, Y: -1.22, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.92 rad/s

Acceleration X: -34.58, Y: 1.24, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.92 rad/s

Acceleration X: 51.55, Y: 4.92, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.91 rad/s

Acceleration X: 135.23, Y: 7.37, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.91 rad/s

Acceleration X: -87.55, Y: 9.82, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -21.90 rad/s

Acceleration X: -6.33, Y: 12.27, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.90 rad/s

Acceleration X: 79.81, Y: 15.95, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.89 rad/s

Acceleration X: -149.10, Y: 18.40, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.88 rad/s

Acceleration X: -55.62, Y: 20.85, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -33.88 rad/s

Acceleration X: -115.36, Y: 23.31, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.87 rad/s

Acceleration X: -24.33, Y: 26.98, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.88 rad/s

Acceleration X: 60.58, Y: 29.43, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 26.88 rad/s

Acceleration X: 150.39, Y: 31.89, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.89 rad/s

Acceleration X: -73.62, Y: 34.34, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.89 rad/s

Acceleration X: 13.74, Y: 38.02, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.90 rad/s

Acceleration X: 98.65, Y: 40.47, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 14.90 rad/s

Acceleration X: -125.36, Y: 42.92, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 11.91 rad/s

Acceleration X: -36.78, Y: 45.37, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 8.91 rad/s

Acceleration X: 46.90, Y: 49.05, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 5.92 rad/s

Acceleration X: 129.35, Y: 51.50, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.92 rad/s

Acceleration X: -94.65, Y: 53.95, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.07 rad/s

Acceleration X: -14.65, Y: 57.63, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.07 rad/s

Acceleration X: 72.71, Y: 60.08, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.06 rad/s

Acceleration X: 4.38, Y: 62.53, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.06 rad/s

Acceleration X: -61.50, Y: 64.98, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.32 rad/s

Acceleration X: -126.15, Y: 68.66, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.32 rad/s

Acceleration X: 132.83, Y: 71.11, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.59 rad/s

Acceleration X: 71.85, Y: 73.56, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -21.58 rad/s

Acceleration X: 12.11, Y: 76.02, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.58 rad/s

Acceleration X: -53.77, Y: 79.69, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.84 rad/s

Acceleration X: -112.29, Y: 82.15, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.84 rad/s

Acceleration X: 140.55, Y: 84.60, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -34.10 rad/s

Acceleration X: 84.49, Y: 87.05, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.65 rad/s

Acceleration X: 18.61, Y: 90.73, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.65 rad/s

Acceleration X: -42.36, Y: 93.18, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 26.38 rad/s

Acceleration X: -107.01, Y: 95.63, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.39 rad/s

Acceleration X: 150.73, Y: 98.08, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.12 rad/s

Acceleration X: 87.31, Y: 101.76, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.13 rad/s

Acceleration X: 30.02, Y: 104.21, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 13.86 rad/s

Acceleration X: -32.18, Y: 106.66, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 10.87 rad/s

Acceleration X: -89.48, Y: 110.34, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.87 rad/s

Acceleration X: -154.12, Y: 112.79, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.60 rad/s

Acceleration X: 102.40, Y: 115.24, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 1.61 rad/s

Acceleration X: 40.20, Y: 117.69, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -1.66 rad/s

Acceleration X: -20.78, Y: 121.37, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -4.65 rad/s

Acceleration X: -86.65, Y: 123.82, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -7.65 rad/s

Acceleration X: -136.59, Y: 126.27, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -10.92 rad/s

Acceleration X: 119.93, Y: 128.73, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -13.91 rad/s

Acceleration X: 65.09, Y: 132.40, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -17.18 rad/s

Acceleration X: 13.92, Y: 134.86, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -20.17 rad/s

Acceleration X: -33.57, Y: 137.31, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -23.17 rad/s

Acceleration X: -94.54, Y: 139.76, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -26.43 rad/s

Acceleration X: -151.83, Y: 143.44, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -29.43 rad/s

Acceleration X: 104.69, Y: 145.89, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -32.70 rad/s

Acceleration X: 51.07, Y: 148.34, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 34.05 rad/s

Acceleration X: -11.13, Y: 150.79, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 30.79 rad/s

Acceleration X: -68.42, Y: 154.47, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 27.52 rad/s

Acceleration X: -129.39, Y: -156.89, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 24.53 rad/s

Acceleration X: 130.80, Y: -154.44, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 21.26 rad/s

Acceleration X: 72.29, Y: -151.99, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 18.26 rad/s

Acceleration X: 13.77, Y: -148.31, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 15.27 rad/s

Acceleration X: -48.43, Y: -145.86, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 12.00 rad/s

Acceleration X: -104.50, Y: -143.41, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 9.01 rad/s

Acceleration X: 145.89, Y: -139.73, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 5.74 rad/s

Acceleration X: 89.82, Y: -137.28, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.74 rad/s

Acceleration X: 25.17, Y: -134.83, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.25 rad/s

Acceleration X: -33.35, Y: -132.38, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.52 rad/s

Acceleration X: -98.00, Y: -128.70, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.51 rad/s

Acceleration X: -156.52, Y: -126.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.78 rad/s

Acceleration X: 95.10, Y: -123.79, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.77 rad/s

Acceleration X: 39.03, Y: -121.34, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.77 rad/s

Acceleration X: -23.17, Y: -117.67, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -19.04 rad/s

Acceleration X: -79.24, Y: -115.21, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -22.03 rad/s

Acceleration X: -138.98, Y: -112.76, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -25.30 rad/s

Acceleration X: 121.21, Y: -110.31, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -28.29 rad/s

Acceleration X: 62.69, Y: -106.63, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -31.56 rad/s

Acceleration X: 7.85, Y: -104.18, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -34.56 rad/s

Acceleration X: -55.57, Y: -101.73, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.19 rad/s

Acceleration X: -112.87, Y: -99.28, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 28.93 rad/s

Acceleration X: 138.75, Y: -95.60, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 25.93 rad/s

Acceleration X: 81.46, Y: -93.15, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 22.67 rad/s

Acceleration X: 18.03, Y: -90.70, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 19.67 rad/s

Acceleration X: -42.94, Y: -88.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 16.68 rad/s

Acceleration X: -107.59, Y: -84.57, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 13.41 rad/s

Acceleration X: 150.15, Y: -82.12, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 10.41 rad/s

Acceleration X: 87.96, Y: -79.66, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.15 rad/s

Acceleration X: 24.54, Y: -75.99, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.15 rad/s

